2019/1/17 18:07:30	正在初始化...已完成

2019/1/17 18:07:32	链接12306服务器速度:539毫秒[良]

2019/1/17 18:07:32	获取到:1336个CDN,开始智能测速中...

2019/1/17 18:08:08	学生不可以购买软卧。

2019/1/17 18:08:15	学生不可以购买动卧。

2019/1/17 18:08:17	学生不可以购买动卧。

2019/1/17 18:09:15	查询完毕,本次查询共用时:1234毫秒

2019/1/17 18:09:28	查询完毕,本次查询共用时:361毫秒

2019/1/17 18:09:33	链接12306服务器速度:71毫秒[优]

2019/1/17 18:10:02	查询完毕,本次查询共用时:394毫秒

2019/1/17 18:10:01	查询完毕,本次查询共用时:267毫秒

2019/1/17 18:10:05	查询完毕,本次查询共用时:3869毫秒

2019/1/17 18:10:20	查询完毕,本次查询共用时:427毫秒

2019/1/17 18:11:07	查询完毕,本次查询共用时:178毫秒

2019/1/17 18:11:18	查询完毕,本次查询共用时:282毫秒

2019/1/17 18:11:23	查询完毕,本次查询共用时:7726毫秒

2019/1/17 18:12:19	正在加载QQ聊天窗体...

2019/1/17 18:12:20	QQ窗体加载失败,请使用管理员运行!

2019/1/17 18:12:23	正在加载QQ聊天窗体...

2019/1/17 18:12:24	QQ窗体加载失败,请使用管理员运行!

2019/1/17 18:12:59	正在加载QQ聊天窗体...

2019/1/17 18:13:01	QQ窗体加载失败,请使用管理员运行!

2019/1/17 18:13:13	开始查询2019-02-21车次，间隔：默认

2019/1/17 18:13:20	结束车票查询

2019/1/17 18:14:40	正在加载QQ聊天窗体...

2019/1/17 18:14:42	QQ窗体加载失败,请使用管理员运行!

2019/1/17 18:14:45	正在加载QQ聊天窗体...

2019/1/17 18:14:47	QQ窗体加载失败,请使用管理员运行!

2019/1/17 18:14:54	查询完毕,本次查询共用时:198毫秒

2019/1/17 18:15:14	查询完毕,本次查询共用时:252毫秒

2019/1/17 18:15:28	查询完毕,本次查询共用时:156毫秒

2019/1/17 18:15:50	查询完毕,本次查询共用时:881毫秒

2019/1/17 18:16:20	查询完毕,本次查询共用时:417毫秒

2019/1/17 18:16:31	查询完毕,本次查询共用时:128毫秒

2019/1/17 18:16:54	查询完毕,本次查询共用时:617毫秒

2019/1/17 18:17:25	正在加载QQ聊天窗体...

2019/1/17 18:17:27	QQ窗体加载失败,请使用管理员运行!

